original_description,amount
"Bill payment Withdrawal SIE*PLAYSTATIONNETWORK  877-971-7669, CA",3138
Payment to Wowgo Best Buy,8165
Subscription DES:Acorns ID:HASH INDN:CUSTOMER NAME CO ID:XXXXXNUMBER WEB,314
INSTACART SUBSCRIPTION,3138
COMCAST CALIFORNIA  800-COMCAST         CA,21991
INSTACART SUBSCRIPTION 08/30 PURCHASE HTTPSINSTACAR CA,3138
Kindle Svcs*M72BU2D21,4097
GROUPON INC         877-788-7858        IL,84509
INSTACART 02/13 PURCHASE HTTPSINSTACAR CA,21460
DEBIT CARD STATE FARM INSURANCE 800-956-6310 IL STATE FARM,48026
SIE*PLAYSTATIONNETWORK,8401
GOOGLE*GOOGLE STORAGE INTERNET CA,6280
BEST BUY TYPE AUTO PYMT ID CITI - MEMO=BEST BUY TYPE AUTO PYMT ID CITIAUTFDR CO BEST BUY,38327
ACH Electronic Debit - Acorns Invest Transfer HASH,1571
ACH Electronic Debit - COMENITY PAY UR WEB PYMT PNUMBER,15708
Withdrawal INSTACART HTTPSINSTACAR CA Date 10/15/20 NUMBER,53395
WDRL-ACH GEICO - PREM COLL,47856
GOOGLE*GOOGLE STOR INTERNET CA Ref:NUMBER Auth:NUMBER PurchDate:1/1/2020 12:00:00 AM,1005
Amazon Music*Q328936E3,2510
PAYPAL *HULU 402-935-7733 CA                 07/02,4414
Amazon Music*MM2I74RW1,2510
AT&T*BILL PAYMENT 8003310500 TX,86670
POS Withdrawal (FIS) GOOGLE *Google GOOGLE *Google S Mountain View CA(NUMBER),666
DBT/WDR*NUMBER MICROSOFT*XBOX MSBILL.INFO WA,3296
RECURRING DEBIT CARD XXXXXNUMBER PlaystationNetwork XXXXXNUMBER CA,3327
affirm.com Payme/affirm.com CUSTOMER NAME,12258
GROUPON INC         877-788-7858        IL,2815
ACH WEB-SINGLE ST-HASH AFFIRM.COM PAYME AFFIRM.COM,38224
GOOGLE*GOOGLE STORAGE,625
Amazon Music*2T74540F0,333
POS PAYMENT FR          110820 INSTACART      8882467822   CA,62175
COMENITY PAY VI WEB PYMT 081320 PNUMBER CUSTOMER NAME,12566
ANNUAL MEMBERSHIP FEE,29845
POS Withdrawal (FIS) Kindle Unltd*MM Kindle Unltd*MM6EO4 866-321-8851 WA(NUMBER),3336
Comenity Payment,10996
STATE FARM RO 27 RETRY PYMT ***********NUMBER,62285
GROUPON INC GROUPON.COM ILUS,11872
ACH TELSINGLE XXXXXNUMBER BEST BUY PAYMENT,47124
PlaystationNetwork 04/22 PURCHASE 800-3457669 CA,26512
SIE*PLAYSTATIONNETWORK 877-971-7669 CA,3336
ANNUAL MEMBERSHIP FEE,29845
AplPay DOORDASH*POTBSAN FRANCISCO       CA,7144
9942 PLANET FITNESS,270
INSTACART           SAN FRANCISCO       CA,12566
DEBIT FOR  ACORNS INVEST    TRANSFER    CO REF- HASH,62832
ACH DEBIT- COMENITY PAY JT 800-395-5714,16057
BEST BUY         PAYMENT    NUMBER WEB ID: CITICTP,94248
PLANET FIT       CLUB FEES  ***********NUMBER,3142
GOOGLE*GOOGLE STORAG G.CO HELPPAY#,625
Debit Card Recurring  GEICO *AUTO 800-841-3000 DC #NUMBER,42003
GOOGLE*GOOGLE STORAGE INTERNET CA            08/29,939
Kindle Svcs*V26NV2483,3245
GODADDY.COM         480-505-8855        AZ,5708
BEST BUY DES:PAYMENT ID:XXXXXNUMBER INDN:CUSTOMER NAME ID:CITICTP WEB,43982
DEBIT CARD PURCHASE MERCHANT PURCHASE TERMINAL NUMBER  PlaystationNetwor DEBIT CARD PURCHASE,4401
AplPay DOORDASH*TACOSAN FRANCISCO       CA,4700
ANNUAL MEMBERSHIP FEE,29845
GEICO AUTO WASHINGTON /DC US CARD PURCHASE,17671
Electronic Withdrawal Prog Direct Ins,98143
ACH Withdrawal affirm.com Payme affirm.com CUSTOMER NAME        ST-HASH,20348
DOORDASH*SUBWAY     SAN FRANCISCO       CA,6088
Withdrawal STATE FARM RO 27 / TYPE: SFPP CO: STATE FARM RO 27,16870
Debit Card W/D AFFIRM.COM PAYMENTS AFFIRM.COM CA Date 07/23/20 NUMBER,14913
BURGER KING #4155,1967
Debit Card Debit  BURGER KING #9818 Q07 LIBERAL KS #0313,2570
COMCAST CABLE COMM,48283
Payment to Microsoft Corporation,3390
Kindle Unltd*UI72537L 866-321-8851 WA        04/16,3138
Point Of Sale Withdrawal NNT / BURGER KIN 80 ROUTE 17K. NEWBURGH NYUS,3186
WITHDRAW / PROG DIRECT INS INS PREM NUMBER ,73004
COMCAST CABLE COMM,20065
Pinned POS Debit 07/30 WA MSBILL.INFO NNT MSBILL.INFO SEQ# XXNUMBER,10339
Recurring Payment DOORDASH DASHPASS NUMBER CA #6993,3138
GOOGLE *GOOGLE STORAGE 855-836-3987 CA HASH,939
ANNUAL MEMBERSHIP FEE,141372
BURGER KING #1,2218
GEICO           NUMBER PREM C,46741
TYPE: WEB PYMT ID: NUMBER DATA: 800-395-5714 CO: COMENITY PAY RD Entry Class Code: WEBACH Trace Number: NUMBER /Withdrawal ACH COMENITY PA,10996
Mobile Purchase Sign Based 06/25 04:59p #NUMBER DHASH GROUPON INC GROUPON.COM IL 20,8247
Withdrawal Debit MICROSOFT*ULTIMATE 1 MO MSBILL.INFO WA Date 06/25/20 NUMBER Card NUMBER,4709
AplPay GROUPON INC  877-788-7858        IL,24881
Kindle Svcs*MY5EE1BH0,4084
AplPay INSTACART    SAN FRANCISCO       CA,15667
PAYPAL           INST XFER  BESTBUY COM     WEB ID: PAYPALSNUMBER,1005
Microsoft*Xbox msbill.info WA Sale,4081
INSTACART*ALDI HTTPSINSTACAR CA              10/01,24464
GOOGLE *Google Storage,625
GROUPON INC         877-788-7858        IL,4006
Kindle Unltd*M44DD9A0 866-321-8851 WA        09/15,3138
COMENITY PAY OT  WEB PYMT   PNUMBER WEB ID: NUMBER,15708
DOORDASH*EL SALITRE SAN FRANCISCO       CA,8413
Microsoft*Xbox,18846
Payment to HLU*HULU NUMBER   ,1882
ACH TRANS / affirm.com Payme;101420;affirm.com,91012
DOORDASH*CUPBOP     SAN FRANCISCO       CA,5796
PAYPAL INST XFER 200102 MICROSOFT ONEDR CUSTOMER NAME ,625
Withdrawal Debit Card GROUPON INC GROUPON.COM IL Card NUMBER,1571
POS Withdrawal (FIS) NNT BURGER KING 363 SCHUYLKILL ROAD PHOENIXVILLE PA(8788),2934
PURCHASE AUTHORIZED ON 07/05 PlaystationNetwork 800-3457669 CA SNUMBER CARD NUMBER,16999
AT&T*BILL PAYMENT 800-331-0500 TXUS DEBIT,28727
Subscription DES:Acorns ID:HASH INDN:CUSTOMER NAME CO ID:XXXXXNUMBER WEB,314
BEST BUY         PAYMENT    NUMBER WEB ID: CITICTP,62832
"DIRECT WITHDRAWAL, ACORNS INVEST TRANSFER",3669
Withdrawal SIG Trnsctn 08.06 - AFFIRMCOM PAYMENTS - AFFIRM.COM PAYMENTS AFFIRM.COM CA,17995
Debit Card purchase GROUPON INC NUMBER GROUPON.COM IL,28271
Payment to Hulu,2036
ELECTRONIC/ACH DEBIT ACORNS INVEST    TRANSFER   HASH            NUMBER  ,6283
ANNUAL MEMBERSHIP FEE,141372
Subscription 855-739-2859 Acorns,1571
PROG SELECT INS INS PREM / CUSTOMER NAME,5027
BURGER KING #99 06/12 PURCHASE TAMPA FL,4753
DOORDASH            SAN FRANCISCO       CA,14816
PURCHASE 04-10 PAYPAL *MICROSOFT XBOX 402-935-7733   WA VNT NUMBER,2083
DOORDASH DASHPASS,3138
PAYPAL           INST XFER  MICROSOFT STORE WEB ID: PAYPALSI77,34146
WITHDRAWAL BY CASH 706 NORTH RIVERSIDE ESPANOLA NM BURGER KING #4852,7797
ACH Withdrawal COMENITY PAY VI 800-395-5714 - WEB PYMT,17279
BESTBUY RENEWANUMBER 800-4335778 MN        03/26,2824
GROUPON INC              GROUPON.COM  IL,16336
STATE FARM RO 27    SFPP         ACH Entry Memo Posted Today,8011
Payment/Transfer Debit DOORDASH DASHPASS      WWW.DOORDASH.CAUS,3138
COMENITY PAY BH WEB PYMT 020620 PNUMBER CUSTOMER NAME,31416
BEST BUY            EL SEGUNDO          CA,10317
ANNUAL MEMBERSHIP FEE,31102
UNITED FIN CAS INS PREM NUMBER NUMBER CUSTOMER NAME,88684
MICROSOFT XBOX,719
ATT Payment 010620 NUMBER EPAYS Family Name,8718
Web Authorized Pmt Acorns,7854
affirm.com Payme TYPE: affirm.com ID: NUMBER CO: affirm.com Payme ACH ECC WEB ACH Trace NUMBER,30602
WEB INITIATED PAYMENT AT Acorns Invest Transfer HASH 050420,1722
GEICO PREM COLL,22532
DOORDASH*CHIPOTLE   SAN FRANCISCO       CA,5633
MICROSOFT*XBOX      REDMOND,1568
DEBIT DOORDASH DASHPASS 6506819470 CAU - MEMO=DOORDASH DASHPASS 6506819470 CAUS,3138
Microsoft*Xbox Redmond WA                    06/10,3138
XX4798 PURCHASE 06/14 09:45 Kindle Unltd*MS0 866-321-8851 WA NUMBER NUMBER,3365
Subscription 855-739-2859 Acorns,942
GROUPON INC GROUPON.COM IL HASH,2265
RECURRING PAYMENT AUTHORIZED ON 01/11 INSTACART SUBSCRIP HTTPSINSTACAR CA NUMBER CARD NUMBER,3138
Debit Card Purchase 10/27 #5854 INSTACART 8882467822 CA NUMBER,54463
ACH Withdrawal BEST BUY,62832
DOORDASH*DENNYS     SAN FRANCISCO       CA,8561
SIE*PLAYSTATIONNETWORK,7851
POINT OF SALE DEBIT GOOGLE *GOOGLE STORAGE     MOUNTAIN VIEWCA  ,625
debit card GOOGLE*GOOGLE STORAGE INTERNET CA Date 06/26/20 0 NUMBER,625
BESTBUYCOMNUMBER,120722
ATT              PAYMENT,60055
PROG ADVANCED    INS PREM                   PPD ID: 9409348096,36483
ANNUAL MEMBERSHIP FEE,29845
"Groupon, Inc. 06/20 PURCHASE 312-288-6424 IL",10681
PAYPAL           INST XFER  PLAYSTATION     WEB ID: PAYPALSI77,1012
"BESTBUY.COM, 888-BESTBUY Sale",66721
POS purchase on 05/12/20 at GEICO  *AUTO - MACON DC,59957
GOOGLE *Google Storage,625
Card Purchase - PROGRESSIVE INS,25708
ACH WITHDRAWAL - STATE FARM RO 27 SFPP       ***********NUMBER,62285
SIE*PLAYSTATIONNETWORK,8372
CHECK #  Processed Check - COMENITY CARD    TYPE: CHECK PYMT ID: NUMBER    Entry Class Code: ARC    ACH Trace Number: NUMBER,62832
AT&T*BILL PAYMENT,26619
MICROSOFT*XBOX,20025
ATT              Payment                    PPD ID: NUMBER,25265
WITHDRAWAL WEB PYMT   COMENITY PAY OH PNUMBER,9425
XXNUMBER POS PURCHASE Amazon Music*2T0 888-802-3080 WA XXXXNUMBER XXNUMBER,1253
WITHDRAWAL AMAZON MUSIC*MY3ET32K0 DATE DATE,2661
PROG DIRECT INS  INS PREM                   PPD ID: NUMBER,60959
Kindle Svcs*1N2927KQ3    866-321-8851 WA,625
ANNUAL MEMBERSHIP FEE,29845
Kindle Svcs*CY7620O23,3610
Instacart Httpsinstacar Ca,30159
Point Of Sale Withdrawal SIE*PLAYSTATIONNETWORK 877-971-7669 CAUS,3138
STATE FARM RO 27 SFPP PPD ***********NUMBER,10838
ATT*BILL PAYMENT,15708
External WD STATE FARM RO 27 - SFPP No Category,103424
POS Debit - Visa Check Card 5935 - AMAZON MUSIC*M441W 888-802-30,2510
STATE FARM RO 27 SFPP                       PPD ID: NUMBER,3717
affirm.com Payme/affirm.com/110620,11718
KINDLE SVCS*IX1RD7XC3 866-321-8851 WA HASH,3296
GROUPON INC,9896
MICROSOFT*XBOX,3138
affirm.com Payme TYPE: affirm.com ID: NUMBER CO: affirm.com Payme ACH ECC WEB ACH Trace NUMBER,7040
POS Debit - Visa Check Card NUMBER - PROGRESSIVE *INSUR 800-776-47,51739
PROG COUNTY MUT  INS PREM CUSTOMER NAME XXXXXNUMBER  CUSTOMER NAME,25491
Kindle Unltd*CI13H8333,3327
TELEPHONE INITIATED PAYMENT AT COMENITY PAY OH PHONE PYMT PNUMBER,4712
CAVIAR*THE COOK AND SAN FRANCISCO       CA,23798
COMENITY PAY VI 800-395-5714 WEB PYMT,81678
COMENITY PAY UR DES:WEB PYMT ID:PNUMBER INDN:CUSTOMER NAME CO ID:CUSTOMER ID WEB,1367
PLANET FIT CLUB FEES PPD,6280
COMCAST/XFINITY 800-266-2278 FL,41535
DOORDASH DASHPASS WWW.DOORDASH. CA           02/10,3138
PURCHASE AUTHORIZED ON 05/11 Kindle Svcs*735X22 866-321-8851 WA ACCOUNT NUMBER CARD NUMBER,3280
Point Of Sale Withdrawal  Kindle Unltd*4Z0BY     866-321-8851 WAUS,3138
COMENITY PAY VI  WEB PYMT   PNUMBER WEB ID: NUMBER,11624
Recurring POS MICROSOFT*XBOX REDMOND WA #NUMBER,3396
MICROSOFT*XBOX,15705
Microsoft*Xbox,6820
PROGRESSIVE *INSURANCE 800-776-4737 OH,31416
POS PUR PLAYSTATION NETWORK 800-345-7669 CA NUMBER *****NUMBER 04/17,12563
Point Of Sale Withdrawal / Amazon Music*MV3AZ4888-802-3080 WAUS,5105
Kindle Svcs*RF9TW83L3,1781
POS Withdrawal (FIS) Kindle Unltd*M4 Kindle Unltd*M40K96 866-321-8851 WA(NUMBER),3336
ANNUAL MEMBERSHIP FEE,31102
Kindle Svcs*LU4AO8E23,4238
"Payment to GoDaddy.com, LLC",7021
DNH*GODADDY.COM              480-5058855  AZ,2661
MICROSOFT*XBOX      REDMOND,3138
PAYPAL *GROUPON INC      402-935-7733 KY,51013
Electronic Withdrawal Planet Fit,7223
HLU*HULU NUMBER HULU.COM/BILL       CA,4263
AplPay DOORDASH*POTBSAN FRANCISCO       CA,12620
GROUPON INC       GROUPON.COM IL #00000,4712
COMENITY PAY IL 800-395-5714 WEB PYMT,15708
STATE FARM INSURANCE 8009566310 IL,88819
ELECTRONIC/ACH DEBIT ACORNS INVEST    TRANSFER   HASH            NUMBER  ,1571
DNH*GODADDY.COM 480-5058855 AZ,6019
SUBSCRIPTION ACORNS,942
ACH Withdrawal Acorns Invest Transfer CUSTOMER NAME 855-739-2859,1587
Payment to Progressive Direct Insurance,17960
MICROSOFT*OFFICE 365 P MSBILL.INFO WA        03/02,2391
Microsoft,3358
Amazon Music*MV3XA4SN0,1379
"ACH Withdrawal BEST BUY, AUTO PYMT, CUSTOMER NAME",15708
KINDLE SVCS MG8RD19Z2 866 321 SIGN PURCH 05/02/20 NUMBER,2623
COMENITY PAY OT/WEB PYMT CUSTOMER NAME.,15708
ACH WITHDRAWAL - affirm.com Payme affirm.com ***********HASH,44510
"Groupon, Inc.",10537
WEB PYMT   COMENITY PAY OH,15708
POS PURCHASE NON PIN GEICO AUTO,44695
POS Withdrawal Microsoft  Redmond WA,7537
INSTACART           SAN FRANCISCO       CA,1219
ANNUAL MEMBERSHIP FEE,31102
INSTACART SUBSCRIPTION HTTPSINST,3138
WITHDRAW / COMENITY PAY OH WEB PYMT 030320,9425
GOOGLE*GOOGLE STORAG G.CO HELPPAY#,939
Amazon Music,311
STATE FARM RO 27,62251
Withdrawal / Amazon Music*MJ5NY2N41 888-802-3080 WA Date DATE NUMBER NUMBER,2749
DNH*GODADDY.COM          480-5058855  AZ,5708
INSTACART           SAN FRANCISCO       CA,48550
Subscription Acorns 081020 HASH CUSTOMER NAME,942
GEICO  *AUTO,29924
DEBIT INSTACART SUBSCRIPT 8882467822 C - MEMO=INSTACART SUBSCRIPT 8882467822 CAUS,3138
Point Of Sale Withdrawal Microsoft 1 Microsoft Way Redmond WAUS 08/26 @ 09:39 PM,1351
COMCAST 800-266-2278 GA,50774
COMCAST 800-COMCAST NJ,70717
TYPE: INS PREM ID: NUMBER CO: PROG DIRECT INS,21027
COMENITY PAY II  WEB PYMT   PNUMBER WEB ID: NUMBER,21049
PLANET FIT       CLUB FEES                  PPD ID: NUMBER,13264
INSTACART           SAN FRANCISCO       CA,58396
AplPay DOORDASH*JETSSAN FRANCISCO       CA,14231
COMENITY PAY OH RETRY PYMT PXXXXXXXXXXNUMBER,10996
DNH*GODADDY.COM,3509
AT&T MOBILE RECURRIN800-288-2020        TX,81675
Microsoft,1671
INSTACART HTTPSINSTACAR CA                   09/01,39339
"PURCHASE 03-12 MICROSOFT*XBOX LIVE GO MSBILL.INFO, WA MCI NUMBER",3346
POS Debit GEICO  *AUTO      MACON        DC            NUMBER,45339
ANNUAL MEMBERSHIP FEE,21677
Microsoft,4709
DEBIT FOR  PROG ADVANCED    INS PREM    CO REF- XXXXXNUMBER CUSTOMER NAME,63564
AT&T*BILL PAYMENT,47520
affirm.com Payme affirm.com ST-HASH WEB ID: NUMBER,4276
CKCD DEBIT NUMBER 10/26 00:00 GROUPON IN C NUMBER IL,14926
ACH WITHDRAWAL - COMENITY PAY OT  WEB PYMT   ***********NUMBER,28274
DOORDASH DASHPASS WWW.DOORDASH. CA           04/30,3138
Debit Card Amazon Music*MF76K3SF1 888-802-3080 WA Date 08/06/20 NUMBER Card 10 #NUMBER,5039
INSTACART,16965
PLANET FIT,7427
BURGER KING #9461 BURGER KING #9461 WATERVLIET            MI DBT PURCHASE ON 03/31 @ 13:29 CARD NBR: NUMBER,2686
PLANET FIT CLUB FEES  515-528-2329,7392
DOORDASH*BEACH PLUM SAN FRANCISCO       CA,24753
HLU*HULU NUMBER HULU.COM/BILLCA - NUMBER,3767
DBT Purchase Amazon Music*MS3 |Amazon Music*MS3ZA6 888-802-3080 WA US|CARD NBR: NUMBER DATE TIME POS Withdrawal,2752
ATM Debit PLAYSTATION NETWORK 919 E Hillsdale Blvd 800-345-7669 CAUS,30106
ANNUAL MEMBERSHIP FEE,23562
Point Of Sale Withdrawal  BESTBUYCOMNUMBER 888-BESTBUY  MNUS,43288
POS SIG DATE VISA #NUMBER Amazon Music*NUMBER 888-802-3080 WA,2711
ANNUAL MEMBERSHIP FEE,29845
INSTACART 8882467822 CA,10917
XX2207 VISA PURCHASE BURGER KING #166 STERLING CO NUMBER,1951
PROG SELECT INS  INS PREM                   PPD ID: NUMBER,38387
PLANET FIT       CLUB FEES,12252
Kindle Svcs*MY4AS1971,782
PLAYSTATION NETWORK,2510
HLU*Hulu NUMBER HULU.COM/BILL CA        02/24,4078
BESTBUYPHONEPLNUMBER 800-4335778 MN        03/26,3138
INSTACART 8882467822 CA,644
RECURRING PAYMENT AUTHORIZED ON 05/07 GOOGLE*GOOGLE STOR INTERNET CA SNUMBER CARD NUMBER,625
PROG COUNTY MUT INS PREM 200302 NUMBER CUSTOMER NAME,43813
BESTBUYCOMNUMBER,112353
DEBIT FOR  ACORNS INVEST    TRANSFER    CO REF- HASH,3142
WITHDRAW / Acorns Invest Transfer 090820,2099
PAYPAL INST XFER GODADDY.COM,3343
ATT              Payment                    PPD ID: NUMBER,27451
ANNUAL MEMBERSHIP FEE,141372
Debit Card Recurring  MICROSOFT *XBOX MSBILL.INFO WA #NUMBER,4951
GEICO            PREM COLL                  PPD ID:NUMBER,9186
COMCAST CABLE COMM  800-COMCAST         FL,20414
Withdrawal Visa Check Card DOORDASH DASHPASS WWW.DOORDASH. CA Date 06/24/20 NUMBER 5812,3138
Kindle Svcs*7O3EN6LV3,2196
INSTACART*ALDI      SAN FRANCISCO       CA,10647
PRE-AUTHORIZED DEBIT COMENITY PAY VI/WEB PYMT,67164
BESTBUY.COM,82281
GODADDY.COM         480-505-8855        AZ,2661
External Withdrawal COMCAST NUMBER 800-COMCAST - NUMBER,27611
affirm.com Payme affirm.com ST-HASH CUSTOMER NAME ,18627
BESTBUYCOMNUMBERRICHFIELD           MN,13537
DEBIT CARD PURCHASE XXXXXNUMBER AFFIRM.COM PAYMENTS AFFIRM.COM CA,109849
Microsoft*Xbox,3358
BEST BUY DES:PAYMENT ID:XXXXXNUMBER INDN:CUSTOMER NAME CO ID:CITICTP WEB,18476
AFFIRM.COM PAYMENTS AFFIRM.COM CA,15834
Platinum Rewards INSTACART SUBSCRIPTION  CA Date 04/02/20 0           NUMBER Card 46 #TOKEN,3138
PLAYSTATION NETWORK      800-345-7669 CA,3138
ANNUAL MEMBERSHIP FEE,29845
PURCHASE 0201 GROUPON INC GROUPON.COM IL NUMBER,12252
COMENITY PAY IL  WEB PYMT,204204
WEB PYMT   PNUMBER COMENITY PAY IL,15708
WEB S   GEICOGEICO PYMT  CO ID # NUMBER,50187
GOOGLE *Google Storage,939
GROUPON INC         877-788-7858        IL,5444
DNH*GODADDY.COM,2510
DOORDASH*ROAM ARTISASAN FRANCISCO       CA,6575
DOORDASH*SOFRITO LATSAN FRANCISCO       CA,9453
INSTACART,32987
GROUPON INC GROUPON.COM IL HASH,5234
05/31/20 - GOOGLE SMG STUDIO INTERNET CA,782
Payment to Groupon Inc,15086
MICROSOFT   *XBOX        MSBILL.INFO  WA,2014
Debit: Signature purchase from ACCT NUMBER Kindle Unltd*MM0CH2NT0 866-321-8851 US,3349
ANNUAL MEMBERSHIP FEE,29845
DOORDASH*DOUGH ZONE SAN FRANCISCO       CA,6578
PLAYSTATION NETWORK      800-345-7669 CA,3138
Network Purchase BURGER KING #9767 Q07 MACCLENNY FL 44613,4599
affirm.com Payme,28102
Bill Pmt W/D: #NUMBER MICROSOFT*OFFICE 365 PERS MSBILL.INFO WA,2196
DOORDASH*SOUTHERN BASAN FRANCISCO       CA,10509
DBT/WDR*NUMBER DOORDASH DASHPASS          6506819470     CA,3138
DEBIT FOR  COMENITY PAY RD  RETRY PYMT  CO REF- PNUMBER,2400
Purchase: 00000000 1 Microsoft Way Redmond WA Card: ****HASH 06/11/2020,6946
Kindle Unltd*MK4JS7TF1,3138
XXNUMBER CHK PURCH SIG BESTBUYCOMXX5699 888-BESTBUY MN 356 XXNUMBER,2680
Microsoft*Subscription msbill.info WA        02/02,5127
Point Of Sale Withdrawal DOORDASH DASHPASS 6506819470 CAUS,3138
GROUPON INC,8658
STATE FARM RO 27 SFPP       ***********NUMBER,22572
DEBIT CARD PURCHASE  PLAYSTATION NETWORK  800-345-7669   CA,15702
INSTACART SUBSCRIPTION,3138
POS WD PROGRESSIVE INS 800-776-4737 OHUS,37174
Pending: GROUPON INC,1568
ANNUAL MEMBERSHIP FEE,172788
ACH/PLANET FITCLUB FEES,7615
GOOGLE *Google Storage 08/02 PURCHASE 855-836-3987 CA,625
POS DEB NUMBER          Microsoft 1 Microsoft Way                         Redmond       WA,3358
INSTACART SUBSCRIPTION,3138
COMENITY PAY CP  WEB PYMT   ***********NUMBER,18850
ACH Transaction - Acorns Invest Transfer NUMBER,2890
Comcast,69775
"BESTBUYPHONEPLN, 800-433-5778 Sale",3443
Card Purchase - SIE*PLAYSTATIONNETW,3396
"Payment to GoDaddy.com, LLC",11417
INSTACART,18507
ANNUAL MEMBERSHIP FEE,31102
BURGER KING #22  1641,1747
PROG DIRECT INS DES:INS PREM ID:NUMBER INDN:CUSTOMER NAME CO ID:XXXXXNUMBER PPD,38535
AT&T MOBILE RECURRIN800-288-2020        TX,107995
Amazon Music*MK6SG5YL0,1357
BURGER KING #24920 NORTH LITTLE AR           06/25,1411
ACH DEBIT  CLUB FEES  PLANET FIT  TRACE NO: NUMBER,7540
Microsoft*Xbox Redmond WA,1706
GEICO PREM COLL CUSTOMER NAME ,41689
Withdrawal Debit Amazon Music*MU04C93M2 888-802-3080 WA Date DATE NUMBER Card NUMBER,5052
Kindle Unltd*DM3D47ZZ3 866-321-8851 WA Order Number NUMBER,3138
GEICO AUTO          (800)841-3000       DC,39499
Card purchase Microsoft*Xbox 4816 (2020-05-16) Redmond WA,1411
ATT              Payment                    PPD ID: NUMBER,46678
BURGER KING #12220,4238
Debit Card W/D: Check Card PLAYSTATION NETWORK 800-345-7669 CA Date 02/28/20 NUMBER NUMBER Card NUMBER,3138
Point Of Sale Withdrawal / Amazon Music*MS5QD4888-802-3080 WAUS,5105
Payment to Microsoft Corporation,3138
Comcast,21991
ELECTRONIC WITHDRAWAL / Acorns Invest Transfer 062420,1624
GROUPON INC,5655
DEBIT FOR  ACORNS INVEST    TRANSFER    CO REF- HASH,3142
PROGRESSIVE INSU CE 6300 WILSON MILLS RD 8,39320
BURGER KING #953 Q07 10/21 PURCHASE KENMORE NY DEBIT CARD *NUMBER,4606
PAYPAL *GROUPON IN 02-23 402-935,11652
DOORDASH DASHPASS 01/10 MOBILE PURCHASE WWW.DOORDASH. CA,3138
POS Withdrawal: #NUMBER GOOGLE *GOOGLE STORAGE MOUNTAIN VIEW CA Card NUMBER,625
GEICO AUTO          (800)841-3000       DC,20888
INSTACART 09/09 PURCHASE 8882467822 CA,20923
Amazon Music*2T8BJ6OV1,2831
PAYPAL           INST XFER  GOOGLE GOOGLE S WEB ID: PAYPALSI77,625
affirm.com Payme TYPE: affirm.com CO: affirm.com Payme ACH ECC WEB ACH Trace NUMBER,8225
Subscription 855-739-2859 Acorns,314
ACH DEBIT XXXXXNUMBER CUSTOMER NAME PROG CASUALTY INS PREM,56096
ANNUAL MEMBERSHIP FEE,29845
PLANET FIT 860-447-2279 CLUB FEES 860-447-2279,6698
GEICO  *AUTO                  POS     MACON         DC US        XXNUMBER,151045
CLUB FEES PLANET FIT NUMBER,7565
PROGRESSIVE INSU   CE (AP,173416
COMCAST 800-934-6489 MI                      07/04,23622
INSTACART           SAN FRANCISCO       CA,36609
INSTACART HTTPSINSTACAR CA                   09/08,34193
DEBIT CARD DEBIT NUMBER Microsoft*Xbox Redmond WA,3311
COMENITY PAY OH,12566
ANNUAL MEMBERSHIP FEE,23562
XXNUMBER PURCHASE 03/07 12:46 PLAYSTATION NETW 800-345-7669 CA XXXX0000 XXNUMBER,24253
PROG SPECIALTY INS PREM XXXXXNUMBER CUSTOMER,26785
WITHDRAW / Acorns Invest Transfer 110920,2758
GEICO *AUTO 800-841-3000 DC NUMBER,35029
ACH Electronic Debit - Acorns Invest Transfer HASH,1571
PAYPAL INST XFER 201001 PLAYSTATION TOKEN,3138
ACH/STATE FARM RO 27SFPP,79514
GOOGLE*GOOGLE STORAGE,625
Progressive Ins,21583
COMENITY PAY VI : WEB PYMT ID: xNUMBER CO: COMENITY PAY VI ACH ECC WEB ACH Trace xNUMBER,79577
ACH WITHDRAWAL - COMENITY PAY IL  WEB PYMT   ***********NUMBER,10996
GODADDY.COM         480-505-8855        AZ,7647
Microsoft Xbox,18846
WITHDRAW / PROG UNIVERSAL INS PREM NUMBER Eff. Date:,14687
INSTACART SUBSCRIPTION,3138
PROG COUNTY MUT  INS PREM                   PPD ID: NUMBER,70664
INSTACART           SAN FRANCISCO       CA,12548
AplPay DOORDASH*SHAKSAN FRANCISCO       CA,24768
"GOOGLE *GOOGLE STORAGE MOUNTAIN VIEW, CA, US",3138
PURCHASE AUTHORIZED ON 03/17 GEICO *AUTO STRING SNUMBER CARD NUMBER,110182
SIE*PLAYSTATIONNETWORK,8372
ACH Transaction - PROG COUNTY MUT INS PREM NUMBER,119849
Subscription     Acorns     HASH           WEB ID: NUMBER,314
COMENITY PAY CS TYPE: WEB PYMT  ID: NUMBER CO: COMENITY PAY CS ACH ECC WEB,10996
affirm.com Payme affirm.com ST-HASH WEB ID: NUMBER,8162
Amazon Music*280SU7WJ1,1253
BURGER KING #15569,11278
MICROSOFT*EA ACCESS 1 MON,1712
INSTACART 8882467822 CA                      09/11,68989
INSTACART SUBSCRIPTION 8882467822 CA,3138
CHECK CARD PURCHASE KINDLE UNLTD*MJ4U70942     866-321-8851 WA  ,3138
PLANET FIT CLUB FEES PPD,7819
MICROSOFT XBOX,2824
STATE FARM  INSURANCE,32289
COMENITY PAY OH 800-395-5714 WEB PYMT,10996
SIGNATURE DEBIT PROGRESSIVE INS 800-776-4737 OH Date 08/01/20 NUMBER  6300 Card 10 #NUMBER MCC NUMBER ,31102
